nome,mapcategory,servizio,attore,indirizzo,latitudine,longitudine,referente,contatti,accesso,costi,accesso_temporale,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica,periodo_apertura,mesi_apertura,occasioni_apertura,descrizione,destinatari,altri,disabili,parcheggi100m_riservati,parcheggi100m_gratuiti,parcheggi100m_pagamento,parcheggi100m_disabili,data_aggiornamento,note,url,foto,natura_calcolata,utenza_prevalente_calcolata,funzione_relazionale_calcolata,giorni_con_orari_indicati,id_povo,fonte_principale,fonti_riscontro,id_osm,id_overture,stato_match,match_con,match_score,distanza_match_m,verifica_locale,qualita_record,data_estrazione_esterna,data_ultima_verifica,dentro_confine_povo
Mercatino del Riuso,Servizi pubblici e di comunità,Servizi e attività economiche,Volontarie + Circoscrizione di Povo,via Don T. Dallafior 2 (ingresso da Piazzale Merler) o civico 5 (ingresso lato Chiesa),46.064879,11.153424,3204345956 Segretaria della circoscrizione,-,Accesso libero,Gratuito,Aperto in determinati giorni/orari,Pomeriggio,-,-,Pomeriggio,-,-,-,Sempre aperto,-,-,"Mercatino del riuso gestito da volontarie, attivo tutti i lunedì e giovedì dalle 14.00 alle 16.00 presso la Circoscrizione di Povo, nell'atrio all'ultimo piano 
(accessibile anche con l'ascensore). E' possibile portare articoli e capi di vestiario da regalare (selezionati, puliti e in ottimo stato), o ritirarli gratuitamente per il proprio uso personale e familiare.
Tra le cose accettate, oltre ad abbigliamento e scarpe, che vengono suddivisi per stagione, taglia e tipologia, come se fosse un vero negozio, vi sono giochi, articoli per la casa, giocattoli e piccoli elettrodomestici. 
Qualora si volessero cedere elementi di arredo o oggetti ingombranti, si segnala il sito internet http://www.tuttapovo.it/riuso/ nel quale è possibile caricare annunci o reperire informazioni e contatti per gli articoli ai quali si è interessati.",Tutte la età,"Studenti, Famiglie, Persone fragili o in situazione di svantaggio sociale, Tutti","Si, in autonomia",Si,Si,-,Si,7/8/2025,-,https://www.tuttapovo.it/riuso/,https://i.postimg.cc/15wMjnf9/470174382-1091293146129212-4158211521558568548-n.jpg,Comunità / associazioni,Entrambi,Alta,2,POVO-CIRC-0001,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,7/8/2025,true
Bookcrossing,"Cultura, socialità e spazi comuni",Cultura e tempo libero,Circoscrizione,Via don T.Dallafior 2 - Piazzale C. Merler,46.064879,11.153424,Circoscrizione di Povo tel. 0461 889920,presidente.circoscrizionepovo@comune.trento.it - circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio",Pomeriggio,Pomeriggio,"Mattina, Pomeriggio",Pomeriggio,-,-,Sempre aperto,-,-,"Punto di scambio libri a disposizione di tutti. Liberamente ognuno può lasciare dei volumi in buono stato e/o prendere i libri che desidera leggere. Non si sono limitazioni per quanto concerne le tipologie di libri (saggi, romanzi, fumetti, ecc.). Si chiede di non lasciare vecchie riviste o enciclopedie. In sostanza: lasciate i libri che donereste ad un amico, per il resto c'è il CRM.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,Si,12/8/2025,"Il servizio è sempre accessibile negli orari della biblioteca, con entrata sia da Via don Dallafior che da Piazzale Merler e ogniqualvolta il centro civico è aperto per qualsiasi altra attività",-,https://i.postimg.cc/rFjgT6CC/Screenshot-From-2026-07-06-00-08-37.png,Pubblico / istituzionale,Entrambi,Alta,5,POVO-CIRC-0002,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,12/8/2025,true
Bookcrossing,"Cultura, socialità e spazi comuni",Cultura e tempo libero,Circoscrizione,Via Salè,46.0625721,11.1522169,Circoscrizione di Povo tel. 0461 889920,presidente.circoscrizionepovo@comune.trento.it - circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"E' una piccola libreria riparata da una tettoia, in cui ognuno può lasciare dei libri oppure prendere quelli che desidera. Può portarli via o leggerli in loco e poi rimetterli a posto. Si chiede di non lasciare vecchie riviste, libri obsoleti o enciclopedie: lasciare, cioè, i libri che si donerebbero ad un amico, cosicchè tutti possano beneficiarne.",Tutte la età,Tutti,"Si, in autonomia",Si,Si,-,Si,12/8/2025,La libreria si trova all'interno del parco del Salè.,-,https://i.postimg.cc/rFjgT6CC/Screenshot-From-2026-07-06-00-08-37.png,Pubblico / istituzionale,Entrambi,Alta,0,POVO-CIRC-0003,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,12/8/2025,true
Bookcrossing,"Cultura, socialità e spazi comuni",Cultura e tempo libero,Pro Loco Oltrecastello Aps,Parco di Oltrecastello,46.072216,11.162166,Pro Loco Oltrecastello Aps,-,Accesso libero,Gratuito,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"E' una piccola libreria riparata da una tettoia, in cui ognuno può lasciare dei libri oppure prendere quelli che desidera. Può portarli via o leggerli in loco e poi rimetterli a posto. Si chiede di non lasciare vecchie riviste, libri obsoleti o enciclopedie: lasciare, cioè, i libri che si donerebbero ad un amico, cosicchè tutti possano beneficiarne.",Tutte la età,Tutti,"Si, in autonomia",Si,Si,-,Si,6/7/2026,La libreria si trova all'interno del parco del Salè.,https://www.comune.trento.it/Amministrazione/Documenti-e-dati/Accordi-tra-enti/Patto-di-collaborazione-Casetta-del-Bookcrossing-nel-parco-di-Oltrecastello-2026,https://i.postimg.cc/NjRVmC1y/623169596-1327787112712206-1615473390180365531-n.jpg,Comunità / associazioni,Entrambi,Alta,0,POVO-CIRC-0004,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,6/7/2026,true
sala video Sergio Nichelatti,"Cultura, socialità e spazi comuni",Cultura e tempo libero,Comune di Trento,"Povo - Piazzale C. Merler, 1",46.064816,11.153304,Circoscrizione di Povo tel. 0461 889920,circoscrizione.povo@comune.trento.it,Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Sala pubblica del Comune di Trento, collocata al piano terra del Centro civico (via Don T. Dallafior n. 7, Povo), prenotabile per conferenze, riunioni, incontri (no feste di compleanno, balli, ecc...). E' una sala rettangolare di 102 mq con 72 posti a sedere, interamente sbarrierata, dotata di videoproiettore e impianto di amplificazione: possibilità di parcheggio nell'attiguo Piazzale Merler e nell'autorimessa del Centro civico. Per prenotarla occorre accedere con SPID al portale Spazi comuni: https://spazicomuni.comune.trento.it/, scegliere Circoscrizione 7 - Povo e poi la sala, verificandone la disponibilità sul calendario (si raccomanda di effettuare la prenotazione con un anticipo di 15-20 giorni rispetto alla data desiderata).
I costi, indicati nel sito in fase di prenotazione, variano in base alla tipologia di utente ed all'orario di utilizzo",Tutte la età,Tutti,"Si, in autonomia",Si,Si,-,Si,12/8/2025,"Sala adatta ad incontri divulgativi, dibattiti, conferenze, riunioni condominiali, concerti, performance teatrali, ecc. Dotata di sedie impilabili, può essere utilizzata per incontri formativi, mostre d'arte, giochi, dimostrazioni pratiche (es. di soccorso).",https://www.comune.trento.it/Vivere-il-Comune/Luoghi/07-Sala-Video-Nichelatti-Povo,https://i.postimg.cc/9FgT1cBw/https-s3-eu-west-1-amazonaws-com-static-opencity-opencontent-it-var-trento-storage-2.jpg,Pubblico / istituzionale,Entrambi,Alta,0,POVO-CIRC-0005,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,12/8/2025,true
Monumento “Ai Caduti di tutte le Guerre” di Povo,"Patrimonio, memoria e fontane",Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,via Don T. Dallafior n. 1,46.065382538821,11.154210796295,Circoscrizione di Povo - 0461 889920,circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Il monumento presenta una struttura in pietra di forma ondulata: nella parte anteriore si trovano una statua in bronzo raffigurante una donna che sostiene un uomo ai suoi piedi, una lanterna in bronzo e la scritta dedicatoria. Sul lato opposto invece si trova la lista dei caduti e dispersi delle due Guerre Mondiali.",Tutte la età,Tutti,"Si, previa assistenza",Si,Si,-,Si,13/8/2025,-,https://www.pietredellamemoria.it/pietre/monumento-ai-caduti-di-tutte-le-guerre-di-povo-trento/,https://www.pietredellamemoria.it/wp-content/themes/pietredellamemoria/img/pdm_header_logo_white.png,Pubblico / istituzionale,Entrambi,Media,0,POVO-CIRC-0006,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,13/8/2025,true
"Lapide commemorativa di Giannantonio Manci, partigiano italiano, eroe della resistenza","Patrimonio, memoria e fontane",Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,Piazza G. Manci n. 6,46.0662627,11.1541585,Circoscrizione di Povo tel. 0461 889920,circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Martire della Resistenza trentina (Trento, 14 dicembre 1901 – Bolzano, 6 luglio 1944). Nel 1940-41 Manci prestò servizio a Trento, col grado di capitano, presso il deposito dell'11° Reggimento alpini di Trento. L'8 settembre 1943, all'annuncio dell'armistizio, entrò nelle file della Resistenza, impegnandosi nell'organizzazione del movimento partigiano trentino. Ai primi di luglio del 1944, in seguito a delazione, fu arrestato dai tedeschi; trasportato a Bolzano e rinchiuso in quelle carceri, per non cedere alle torture si tolse la vita, gettandosi da una finestra durante un interrogatorio. Ogni anno, in prossimità di questa targa e di un'altra lapide a lui dedicata in centro città, al n. 12 della Galleria dei partigiani, si svolge una cerimonia commemorativa.",Tutte la età,Tutti,"Si, in autonomia",No,Si,-,Si,13/8/2025,-,https://it.wikipedia.org/wiki/Giannantonio_Manci,https://i.postimg.cc/YjBcB56q/Chat-GPT-Image-Jul-6-2026-12-16-43-AM.png,Pubblico / istituzionale,Entrambi,Media,0,POVO-CIRC-0007,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,13/8/2025,true
Forte Sella di Roncogno,"Patrimonio, memoria e fontane",Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,"Passo del Cimirlo, 87",46.070821,11.185198,info@cngeitrento.it,trento@pec.cngei.it,Con prenotazione,Gratuito,Aperto in determinati giorni/orari,-,-,-,-,-,-,-,Solo in determinate occasioni,-,Attività degli Scout CNGEI o di rilevanza circoscrizionale,"Forte Roncogno, la cui definizione corretta è “Batteria Roncogno”, è un forte austriaco alle pendici del Monte Celva, al passo del Cimirlo, che faceva parte del grande sistema di fortificazioni austriache al confine italiano.
Ubicato a 8 Km da Trento,  a 805 m di altitudine, ha pianta a ferro di cavallo ed è stato realizzato con pietrame calcareo reperito in zona; sbarrava il passo Cimirlo, insieme alle opere di Civezzano sul fronte opposto, e costituiva uno dei capisaldi del fronte est della fortezza di Trento.
I lavori per la sua realizzazione durarono dal 1879 al 1881. Fin da prima dello scoppio del primo conflitto mondiale fu ritenuto obsoleto dagli austro-ungarici e quindi disarmato; i suoi armamenti vennero spostati in apposite caverne, sulle pendici settentrionali del Celva. Questo sistema di trinceramenti e batterie sono ancora oggi visitabili se muniti di apposite torce. Di particolare interesse in prossimità del Forte risulta la visita del “Sentiero dei 100 scalini”. Nel 1949 divenne proprietà del comune di Trento, che tra il 1989 e il 2010 ha poi condotto delle operazioni di restauro. Dal 2016 è assegnato in concessione di utilizzo alla Sezione scout CNGEI sezione di Trento.",Tutte la età,Tutti,"Si, previa assistenza",Si,Si,No,No,13/8/2025,-,https://www.cngeitrento.it/forte-roncogno/,https://www.cngeitrento.it/wp-content/uploads/2016/07/20160610_155210-1024x309.jpg,Pubblico / istituzionale,Prevalentemente city users / visitatori,Media,0,POVO-CIRC-0008,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,13/8/2025,true
Biblioteca Comunale,"Cultura, socialità e spazi comuni",Cultura e tempo libero,Comune di Trento,"Via don Tommaso Dallafior, 5",46.064937,11.153418,Telefono biblioteca di Povo:0461 889917 / 0461 889918,biblioteca.povo@comune.trento.it,Accesso libero,Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio",Pomeriggio,Pomeriggio,"Mattina, Pomeriggio",Mattina,-,-,Sempre aperto,-,-,"La biblioteca è al primo piano del Centro Civico di Povo, raggiungibile anche con ascensore: dispone di 28 posti a sedere al tavolo e di 14 su divani e poltrone, di una sala sala dedicata ai bambini più piccoli e di un patrimonio di circa 15.000/15.500 volumi. Oltre alle classiche sezioni, comuni a tutte le sedi periferiche del comune di Trento, ci sono due sezioni che si occupano di specifiche tematiche: 
- Educando - crescendo: sezione rivolta ai neo-genitori che comprende tutta la manualistica di riferimento, saggi, self-help a tema gravidanza, figli, problemi dell'adolescenza;
- Futurama: una sezione tematica con un taglio sociologico e antropologico, dedicata ai temi dell'intelligenza artificiale e delle nuove tecnologie. 
Gli orari di apertura variano sensibilmente tra periodo estivo e invernale. 
Per informazioni consultare il sito: https://bibcom.trento.it/Orari-e-sedi/Sedi-periferiche/Povo",Tutte la età,Tutti,"Si, in autonomia",Si,Si,-,Si,13/8/2025,-,https://www.comune.trento.it/Vivere-il-Comune/Luoghi/Biblioteca-periferica-Povo,https://i.postimg.cc/wT5xT27C/https-s3-eu-west-1-amazonaws-com-static-opencity-opencontent-it-var-trento-storage-2.jpg,Pubblico / istituzionale,Entrambi,Alta,5,POVO-CIRC-0009,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,13/8/2025,true
Anfiteatro all'aperto,"Cultura, socialità e spazi comuni",Cultura e tempo libero,Comune di Trento - Ufficio Parchi e Giardini,"Piazza Manci, Povo (nel parco adiacente la Banca per il Trentino Alto Adige - filiale di Povo))",46.065413,11.154953,Ufficio parchi e giardini - 0461 884528,ufficio.verde@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Spazio emiciclico all'aperto, collocato all'interno del parco adiacente alla Banca per il Trentino Alto Adige-filiale di Povo, normalmente accessibile agli utilizzatori di quest'area verde. Può essere utilizzato anche per eventi e manifestazioni previa presentazione della richiesta all'Ufficio parchi e giardini del Comune di Trento sia per la verifica della disponibilità che per la quantificazione dei costi di occupazione suolo pubblico. I posti ricavati sui gradoni in pietra sono circa 100.",Tutte la età,Tutti,"Si, previa assistenza",Si,Si,-,Si,13/8/2025,gli studenti universitari lo usano come un luogo di pic-nic,https://spazicomuni.comune.trento.it/Comune/Organi-politici/Circoscrizioni/Circoscrizione-n.-07-Povo/Sale-della-circoscrizione/Anfiteatro-all-aperto-presso-la-Cassa-Rurale-di-Trento-a-Povo,https://spazicomuni.comune.trento.it/var/comunetn/storage/images/comune/organi-politici/circoscrizioni/circoscrizione-n.-07-povo/sale-della-circoscrizione/anfiteatro-all-aperto-presso-la-cassa-rurale-di-trento-a-povo/6687258-6-ita-IT/Anfiteatro-all-aperto-presso-la-Cassa-Rurale-di-Trento-a-Povo_imagefull.png,Pubblico / istituzionale,Entrambi,Alta,0,POVO-CIRC-0010,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,13/8/2025,true
