u,v,key,osmid,highway,oneway,service,reversed,length,grade,grade_abs,slope_pct,walk_speed_kmh,walk_time_s,walk_time_min,elev_u,elev_v,elev_gain_m,elev_loss_m,lanes,maxspeed,name,ref,access,bridge,width,junction,tunnel
157369995,928552719,0,24861683,service,False,driveway,False,5.399395146208851,1.5,1.5,150.0,0.5,38.87564505270373,0.6479274175450622,308.0260009765625,426.8715057373047,118.84550476074219,0.0,,,,,,,,,
157369995,3134332963,0,419226778,secondary,False,,False,14.45829406297299,0.01452394412255753,0.01452394412255753,1.452394412255753,4.787104139391598,10.872932175926692,0.18121553626544487,308.0260009765625,308.2359924316406,0.209991455078125,0.0,2,50,Via Mesiano,SP204,,,,,
157369995,928552594,0,"[419226777, 419226778]","['secondary', 'unclassified']",False,,True,90.85168392005082,-0.04755010735981891,0.04755010735981891,-4.755010735981891,5.948772198005715,54.980431461441675,0.9163405243573612,308.0260009765625,303.70599365234375,0.0,4.32000732421875,"['1', '2']",50,Via Mesiano,SP204,yes,,,,
928552719,157369995,0,24861683,service,False,driveway,True,5.399395146208851,-1.5,1.5,-150.0,0.5,38.87564505270373,0.6479274175450622,426.8715057373047,308.0260009765625,0.0,118.84550476074219,,,,,,,,,
928552719,3134332964,0,24861683,service,False,driveway,False,14.849001194599182,0.0,0.0,0.0,5.036742124615245,10.613289896123197,0.17688816493538662,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
928552719,928552640,0,574541276,footway,False,,False,28.11344303749285,0.0,0.0,0.0,5.036742124615245,20.094019592616238,0.33490032654360397,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
928552719,928552604,0,574541276,footway,False,,True,162.8897168135809,0.0,0.0,0.0,5.036742124615245,116.42505532754198,1.9404175887923665,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
3134332963,270160547,0,419226778,secondary,False,,False,14.732052917387675,0.024437590005919142,0.024437590005919142,2.443759000591914,4.623850984000692,11.46996101001245,0.1911660168335408,308.2359924316406,308.59600830078125,0.360015869140625,0.0,2,50,Via Mesiano,SP204,,,,,
3134332963,157369995,0,419226778,secondary,False,,True,14.45829406297299,-0.01452394412255753,0.01452394412255753,-1.452394412255753,5.299398235589218,9.821843219320836,0.1636973869886806,308.2359924316406,308.0260009765625,0.0,0.209991455078125,2,50,Via Mesiano,SP204,,,,,
3134332963,13563858478,0,1478525988,service,False,driveway,False,4.18566380186837,0.04300218180468914,0.04300218180468914,4.300218180468915,4.332963993586326,3.4776171020646456,0.05796028503441076,308.2359924316406,308.4159851074219,0.17999267578125,0.0,,,,,,,,,
928552594,268914392,0,419226776,unclassified,False,,True,4.898437202896233,0.048999454726338265,0.048999454726338265,4.899945472633826,4.24296101322801,4.1561480002877405,0.06926913333812901,303.70599365234375,303.9460144042969,0.240020751953125,0.0,,,Via Mesiano,,,,,,
928552594,928552604,0,"[79569718, 79569719]",footway,False,,True,108.8072838523009,1.1319601751308344,1.1319601751308344,113.19601751308343,0.5,783.4124437365664,13.056874062276107,303.70599365234375,426.8715057373047,123.16551208496094,0.0,,,,,,,,,
