nome,categoria,utenza,funzione,natura,snap_m,t_FBK_andata,t_FBK_ritorno,t_FBK_piatto,dist_FBK_m,t_UniTn_andata,t_UniTn_ritorno,t_UniTn_piatto,dist_UniTn_m,t_FBK_medio,fascia_FBK,penalita_pendenza_%
"Lapide commemorativa di Giannantonio Manci, partigiano italiano, eroe della resistenza","Patrimonio, memoria e fontane",Entrambi,Media,Pubblico / istituzionale,5.3,4.1,3.2,3.7,280,12.7,11.5,11.3,844,3.6,0-5 min,-3.0
Farmacia Comunale,Servizi pubblici e di comunità,Entrambi,Media,Pubblico / istituzionale,8.7,4.1,3.2,3.7,280,12.7,11.5,11.3,844,3.6,0-5 min,-3.0
Ufficio Postale,Servizi pubblici e di comunità,Entrambi,Media,Pubblico / istituzionale,7.7,4.3,3.4,3.9,294,12.8,11.7,11.4,858,3.8,0-5 min,-3.0
Bar In Centro,Ristorazione e agriturismi,Entrambi,Media,Privato / economico,10.8,4.5,3.5,4.1,305,13.1,11.7,11.6,869,4.0,0-5 min,-2.0
Mercato Settimanale,Commercio e servizi di prossimità,Entrambi,Alta,Privato / economico,14.6,4.5,3.5,4.1,305,13.1,11.7,11.6,869,4.0,0-5 min,-2.0
Famigla Cooperativa Povo,Commercio e servizi di prossimità,Entrambi,Bassa,Privato / economico,11.4,4.5,3.5,4.1,305,13.1,11.7,11.6,869,4.0,0-5 min,-2.0
Gelateria Dolomeis,Ristorazione e agriturismi,Entrambi,Media,Privato / economico,17.1,4.5,3.5,4.1,305,13.1,11.7,11.6,869,4.0,0-5 min,-2.0
Fontana - Piazza Manci,"Patrimonio, memoria e fontane",Entrambi,Media,Pubblico / istituzionale,11.1,4.6,3.7,4.3,321,13.2,12.0,11.8,885,4.2,0-5 min,-2.0
Banca per il Trentino Alto Adige - Bank für Trentino Südtirol,Commercio e servizi di prossimità,Entrambi,Bassa,Privato / economico,33.6,5.1,4.1,4.7,353,13.6,12.3,12.2,917,4.6,0-5 min,-2.0
Pane e non solo,Ristorazione e agriturismi,Entrambi,Media,Privato / economico,7.9,5.3,4.5,5.1,380,13.9,12.7,12.6,944,4.9,0-5 min,-4.0
Anfiteatro all'aperto,"Cultura, socialità e spazi comuni",Entrambi,Alta,Pubblico / istituzionale,54.3,5.3,4.5,5.1,380,13.9,12.7,12.6,944,4.9,0-5 min,-4.0
Bar Al Canton,Ristorazione e agriturismi,Entrambi,Media,Privato / economico,8.4,5.6,4.3,5.1,383,14.2,12.6,12.6,947,4.9,0-5 min,-4.0
Monumento “Ai Caduti di tutte le Guerre” di Povo,"Patrimonio, memoria e fontane",Entrambi,Media,Pubblico / istituzionale,15.0,5.6,4.9,5.4,406,14.2,13.1,12.9,971,5.2,5-10 min,-4.0
Centro Estetico,Commercio e servizi di prossimità,Entrambi,Bassa,Privato / economico,11.3,6.0,4.6,5.5,409,14.6,12.8,13.0,973,5.3,5-10 min,-4.0
Pizzeria Orostube,Ristorazione e agriturismi,Entrambi,Media,Privato / economico,10.6,5.7,5.6,5.7,431,10.5,10.1,9.9,740,5.6,5-10 min,-2.0
Pizza Rio,Ristorazione e agriturismi,Entrambi,Bassa,Privato / economico,10.0,5.7,5.6,5.7,431,10.5,10.1,9.9,740,5.6,5-10 min,-2.0
sala video Sergio Nichelatti,"Cultura, socialità e spazi comuni",Entrambi,Alta,Pubblico / istituzionale,17.7,5.8,5.5,5.8,431,13.1,12.0,12.3,923,5.6,5-10 min,-3.0
Scuola Primaria Provinciale,Servizi pubblici e di comunità,Prevalentemente citizens,Bassa,Pubblico / istituzionale,106.5,5.8,5.5,5.8,431,13.1,12.0,12.3,923,5.6,5-10 min,-3.0
AB Cartocopisteria,Commercio e servizi di prossimità,Entrambi,Bassa,Privato / economico,5.6,6.4,4.9,5.8,435,15.0,13.1,13.3,999,5.6,5-10 min,-3.0
Sala Multiuso 2 presso Centro civico,"Cultura, socialità e spazi comuni",Entrambi,Alta,Pubblico / istituzionale,9.9,6.2,5.8,6.1,458,13.5,12.3,12.7,949,6.0,5-10 min,-2.0
