service_row,service_name,service_address,rank,score,poi_name,poi_address,latitude,longitude,poi_source
0,Mercatino del Riuso,via Don T. Dallafior 2 (ingresso da Piazzale Merler) o civico 5 (ingresso lato Chiesa),1,73.5,A&B Le Terrazze Del Sale' - Apartment And Breakfast,Via Alla Val n.61,46.060188483996434,11.152226082577041,foursquare_povo.geojson
1,BOOKCROSSING presso Centro Civico,Via don T.Dallafior 2 - Piazzale C. Merler,1,100.0,Bookcrossing,Via don T.Dallafior 2 - Piazzale C. Merler,46.064879,11.153424,cultura_socialita_e_spazi_comuni.csv
1,BOOKCROSSING presso Centro Civico,Via don T.Dallafior 2 - Piazzale C. Merler,2,89.33,Bookcrossing,Via Salè,46.0625721,11.1522169,cultura_socialita_e_spazi_comuni.csv
1,BOOKCROSSING presso Centro Civico,Via don T.Dallafior 2 - Piazzale C. Merler,3,82.72,Sala Multiuso 2 presso Centro civico,Via Don T. Dallafior 5,46.064937,11.153418,cultura_socialita_e_spazi_comuni.csv
1,BOOKCROSSING presso Centro Civico,Via don T.Dallafior 2 - Piazzale C. Merler,4,82.55,Bookcrossing,Parco di Oltrecastello,46.072216,11.162166,cultura_socialita_e_spazi_comuni.csv
1,BOOKCROSSING presso Centro Civico,Via don T.Dallafior 2 - Piazzale C. Merler,5,73.2,Centro Estetico,Via della Resistenza 25,46.066208,11.155608,commercio_e_servizi_di_prossimita.csv
2,BOOKCROSSING al Parco del Salè,Via Salè,1,100.0,Bookcrossing,Via Salè,46.0625721,11.1522169,cultura_socialita_e_spazi_comuni.csv
2,BOOKCROSSING al Parco del Salè,Via Salè,2,90.14,fermata povo salè,Via Salè,46.06191525081881,11.151267625337757,foursquare_povo.geojson
2,BOOKCROSSING al Parco del Salè,Via Salè,3,90.14,bar salè,Via Salè,46.06399329572866,11.158128573701859,foursquare_povo.geojson
2,BOOKCROSSING al Parco del Salè,Via Salè,4,89.33,Bookcrossing,Via don T.Dallafior 2 - Piazzale C. Merler,46.064879,11.153424,cultura_socialita_e_spazi_comuni.csv
2,BOOKCROSSING al Parco del Salè,Via Salè,5,85.57,A&B Le Terrazze Del Sale' - Apartment And Breakfast,Via Alla Val n.61,46.060188483996434,11.152226082577041,foursquare_povo.geojson
3,SALA VIDEO SERGIO NICHELATTI,"Povo - Piazzale C. Merler, 1",1,100.0,sala video Sergio Nichelatti,"Povo - Piazzale C. Merler, 1",46.064816,11.153304,cultura_socialita_e_spazi_comuni.csv
4,Monumento “Ai Caduti di tutte le Guerre” di Povo,via Don T. Dallafior n. 1,1,80.54,Asilo Nido di Oltrecastello,Via Borino 1,46.07052905715088,11.162651797362217,foursquare_povo.geojson
4,Monumento “Ai Caduti di tutte le Guerre” di Povo,via Don T. Dallafior n. 1,2,78.35,Scuola Materna - Povo di Trento,Via Pantè 1,46.064745,11.151806,foursquare_povo.geojson
4,Monumento “Ai Caduti di tutte le Guerre” di Povo,via Don T. Dallafior n. 1,3,76.43,sede Povo 2 - Università di Trento,Via Sommarive 9,46.06825642733636,11.14993055746988,foursquare_povo.geojson
4,Monumento “Ai Caduti di tutte le Guerre” di Povo,via Don T. Dallafior n. 1,4,76.43,Autodelta di Zordan Romeo,Via Sommarive 2,46.063975,11.150372,foursquare_povo.geojson
