Timestamp,name,Ambito di appartenenza del servizio:,Ente/Soggetto erogatore del servizio:,Indirizzo:,Referente del servizio e recapito diretto:,Contatti aggiuntivi:,Modalità di fruizione e di accesso al pubblico:,Condizioni economiche di accesso ,Giorni e orari di apertura:,Giorni della settimana e orari di apertura: [Lunedì],Giorni della settimana e orari di apertura: [Martedì],Giorni della settimana e orari di apertura: [Mercoledì],Giorni della settimana e orari di apertura: [Giovedì],Giorni della settimana e orari di apertura: [Venerdì],Giorni della settimana e orari di apertura: [Sabato],Giorni della settimana e orari di apertura: [Domenica],Periodo di apertura:,Seleziona i mesi di apertura:,Indica le occasioni di apertura:,Descrizione sintetica del servizio e quali sono le sue attività principali:,Età principali destinatari:,Altri target specifici:,È accessibile a persone con disabilità motoria?,Sono disponibili parcheggi entro 100 metri?  [Riservati agli utenti],Sono disponibili parcheggi entro 100 metri?  [Gratuiti],Sono disponibili parcheggi entro 100 metri?  [A pagamento],Sono disponibili parcheggi entro 100 metri?  [Riservati ai disabili],Data di compilazione:,Note aggiuntive:,latitude,longitude,coord_source,matched_poi_name,matched_poi_address,match_score,match_gap,match_status,map_category,address
45876.47257543981,Mercatino del Riuso,Servizi e attività economiche,Volontarie + Circoscrizione di Povo,via Don T. Dallafior 2 (ingresso da Piazzale Merler) o civico 5 (ingresso lato Chiesa),3204345956 Segretaria della circoscrizione,,Accesso libero,Gratuito,Aperto in determinati giorni/orari,Pomeriggio,,,Pomeriggio,,,,Sempre aperto,,,"Mercatino del riuso gestito da volontarie, attivo tutti i lunedì e giovedì dalle 14.00 alle 16.00 presso la Circoscrizione di Povo, nell'atrio all'ultimo piano 
(accessibile anche con l'ascensore). E' possibile portare articoli e capi di vestiario da regalare (selezionati, puliti e in ottimo stato), o ritirarli gratuitamente per il proprio uso personale e familiare.
Tra le cose accettate, oltre ad abbigliamento e scarpe, che vengono suddivisi per stagione, taglia e tipologia, come se fosse un vero negozio, vi sono giochi, articoli per la casa, giocattoli e piccoli elettrodomestici. 
Qualora si volessero cedere elementi di arredo o oggetti ingombranti, si segnala il sito internet http://www.tuttapovo.it/riuso/ nel quale è possibile caricare annunci o reperire informazioni e contatti per gli articoli ai quali si è interessati.",Tutte la età,"Studenti, Famiglie, Persone fragili o in situazione di svantaggio sociale, Tutti","Si, in autonomia",Si,Si,,Si,45876,,46.060188483996434,11.152226082577041,foursquare_povo.geojson,A&B Le Terrazze Del Sale' - Apartment And Breakfast,Via Alla Val n.61,73.5,73.5,da_verificare,Servizi e attività economiche,via Don T. Dallafior 2 (ingresso da Piazzale Merler) o civico 5 (ingresso lato Chiesa)
45882.3921765625,Monumento “Ai Caduti di tutte le Guerre” di Povo,Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,via Don T. Dallafior n. 1,Circoscrizione di Povo - 0461 889920,circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,,,,,,,,Sempre aperto,,,"Il monumento presenta una struttura in pietra di forma ondulata: nella parte anteriore si trovano una statua in bronzo raffigurante una donna che sostiene un uomo ai suoi piedi, una lanterna in bronzo e la scritta dedicatoria. Sul lato opposto invece si trova la lista dei caduti e dispersi delle due Guerre Mondiali.",Tutte la età,Tutti,"Si, previa assistenza",Si,Si,,Si,45882,,46.07052905715088,11.162651797362217,foursquare_povo.geojson,Asilo Nido di Oltrecastello,Via Borino 1,80.54,2.19,da_verificare,Luoghi/monumenti di interesse storico/artistico e fontane,via Don T. Dallafior n. 1
45882.39901814815,"Lapide commemorativa di Giannantonio Manci, partigiano italiano, eroe della resistenza",Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,Piazza G. Manci n. 6,Circoscrizione di Povo tel. 0461 889920,circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,,,,,,,,Sempre aperto,,,"Martire della Resistenza trentina (Trento, 14 dicembre 1901 – Bolzano, 6 luglio 1944). Nel 1940-41 Manci prestò servizio a Trento, col grado di capitano, presso il deposito dell'11° Reggimento alpini di Trento. L'8 settembre 1943, all'annuncio dell'armistizio, entrò nelle file della Resistenza, impegnandosi nell'organizzazione del movimento partigiano trentino. Ai primi di luglio del 1944, in seguito a delazione, fu arrestato dai tedeschi; trasportato a Bolzano e rinchiuso in quelle carceri, per non cedere alle torture si tolse la vita, gettandosi da una finestra durante un interrogatorio. Ogni anno, in prossimità di questa targa e di un'altra lapide a lui dedicata in centro città, al n. 12 della Galleria dei partigiani, si svolge una cerimonia commemorativa.",Tutte la età,Tutti,"Si, in autonomia",No,Si,,Si,45882,,46.06570760871926,11.154961454648857,foursquare_povo.geojson,Cassa Rurale Di Trento,Piazza Manci 17,87.85,1.02,da_verificare,Luoghi/monumenti di interesse storico/artistico e fontane,Piazza G. Manci n. 6
45882.406362291666,Forte Sella di Roncogno,Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,"Passo del Cimirlo, 87",info@cngeitrento.it,trento@pec.cngei.it,Con prenotazione,Gratuito,Aperto in determinati giorni/orari,,,,,,,,Solo in determinate occasioni,,Attività degli Scout CNGEI o di rilevanza circoscrizionale,"Forte Roncogno, la cui definizione corretta è “Batteria Roncogno”, è un forte austriaco alle pendici del Monte Celva, al passo del Cimirlo, che faceva parte del grande sistema di fortificazioni austriache al confine italiano.
Ubicato a 8 Km da Trento,  a 805 m di altitudine, ha pianta a ferro di cavallo ed è stato realizzato con pietrame calcareo reperito in zona; sbarrava il passo Cimirlo, insieme alle opere di Civezzano sul fronte opposto, e costituiva uno dei capisaldi del fronte est della fortezza di Trento.
I lavori per la sua realizzazione durarono dal 1879 al 1881. Fin da prima dello scoppio del primo conflitto mondiale fu ritenuto obsoleto dagli austro-ungarici e quindi disarmato; i suoi armamenti vennero spostati in apposite caverne, sulle pendici settentrionali del Celva. Questo sistema di trinceramenti e batterie sono ancora oggi visitabili se muniti di apposite torce. Di particolare interesse in prossimità del Forte risulta la visita del “Sentiero dei 100 scalini”. Nel 1949 divenne proprietà del comune di Trento, che tra il 1989 e il 2010 ha poi condotto delle operazioni di restauro. Dal 2016 è assegnato in concessione di utilizzo alla Sezione scout CNGEI sezione di Trento.",Tutte la età,Tutti,"Si, previa assistenza",Si,Si,No,No,45882,,46.06636727452834,11.140654413991328,foursquare_povo.geojson,Bar di Ingegneria dell'Università degli Studi di Trento,Via Mesiano 77,74.84,0.7,da_verificare,Luoghi/monumenti di interesse storico/artistico e fontane,"Passo del Cimirlo, 87"
45894.412234675925,Bar In Centro,Ristorazione e agriturismi,Privato,P.zza Manci n. 9 ,Travaglia Loris 349 8537577,,Accesso libero,Misto,Aperto in determinati giorni/orari,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",Mattina,Sempre aperto,,,"Bar ideale per colazioni e aperitivi, aperto tutti i giorni dalle 7.00 alle 22.00; la domenica dalle 7.00 alle 13.00. Offre caffè e affini, bibite e tramezzini (no pasti) - posti a sedere all'interno del locale, sul terrazzo e nell'area antistante l'ingresso. ",Tutte la età,Tutti,"Si, in autonomia",,Si,,Si,45894,Molto frequentato,46.06636727452834,11.140654413991328,foursquare_povo.geojson,Bar di Ingegneria dell'Università degli Studi di Trento,Via Mesiano 77,74.73,0.59,da_verificare,Ristorazione e agriturismi,P.zza Manci n. 9 
45894.41619054398,Bar Al Canton,Ristorazione e agriturismi,privato,P.zza Manci n. 21,Daniela Tonezzer - cell. 3395717713,,Accesso libero,Misto,Aperto in determinati giorni/orari,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",,Sempre aperto,,,"Bar ideale per colazioni e aperitivi (no pasti), aperto dal lunedì al sabato con orario 7.00-20.30. Posti a sedere all'interno e su plateatico esterno.",Tutte la età,Tutti,"Si, in autonomia",,Si,,Si,45894,Molto frequentato,46.06636727452834,11.140654413991328,foursquare_povo.geojson,Bar di Ingegneria dell'Università degli Studi di Trento,Via Mesiano 77,74.73,0.59,da_verificare,Ristorazione e agriturismi,P.zza Manci n. 21
45895.747667476855,Pane e non solo,Ristorazione e agriturismi,Privato,"Via Don Dallafior, 2",Cristina Merz  3487896070,,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",Mattina,Mattina,Sempre aperto,,,Si pagano gli acquisti/consumazioni,Tutte la età,Tutti,"Si, in autonomia",No,Si,,,45895,abbastanza frequentata. Fa anche servizi per eventi.,46.065756452401104,11.154204662177454,foursquare_povo.geojson,Pane… E Non Solo,None,84.0,6.0,da_verificare,Ristorazione e agriturismi,"Via Don Dallafior, 2"
45895.75203862268,Gelateria Dolomeis,Ristorazione e agriturismi,Privato,Piazza G: Manci,Degasperi Francesco 3335625279,,Accesso libero,A pagamento,Aperto in determinati giorni/orari,,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",Solo in alcuni periodi dell'anno,"Marzo, Aprile, Maggio, Giugno, Luglio, Agosto, Settembre, Ottobre",,"Chiosco che produce gelato artigianale, torte-gelato e affini, offrendo anche un servizio a domicilio con la cargo bike. Simpatica la proposta di coppe speciali che riprendono il nome dei principali promontori attorno a Povo: Sant'Agata, Cimirlo, Marzola, Celva e Chegul.",Tutte la età,Tutti,"Si, in autonomia",,Si,,,45895,Abbastanza frequentata,46.06619208310082,11.154869782406873,foursquare_povo.geojson,Gelateria Peterle,Piazza Giannantonio Manci,76.62,76.62,da_verificare,Ristorazione e agriturismi,Piazza G: Manci
45896.62153497685,Agritur Verderame,Ristorazione e agriturismi,PRIVATO,"Via della Selva, 49 38123 – Oltrecastello (TN)",LUCA LANER +39 3485114105,"info@agriturverderame.it
www.agriturverderame.it",Con prenotazione,A pagamento,Sempre aperto,,,,,,,,Sempre aperto,,,"Il silenzio della natura e il foliage dei vigneti, il profilo delle montagne e il colore del cielo, tra benessere, sport e relax.
Tanti elementi s’incontrano all’Agritur Verderame per regalarti
la vacanza perfetta, nella natura ad un passo dalla città. Scoprici!",Tutte la età,"Turisti / Visitatori, Sportivi / Escursionisti, Famiglie, Lavoratori / Pendolari, Associazioni / Gruppi organizzati","Si, previa assistenza",Si,Si,,,45896,STRUTTURA NUOVA,,,,,,0.0,0.0,non_trovato,Ristorazione e agriturismi,"Via della Selva, 49 38123 – Oltrecastello (TN)"
45896.63372938657,AGRITUR LA TENUTA ,Ristorazione e agriturismi,PRIVATO,"via VIA della Selva, 27A - 38123 - Trento (TN) - ITALIA",GRISENTI GIUSEPPE  +39 329 878 2648,"www.agriturlatenuta.it
reception@agriturlatenuta.it
Facebook
 Instagram
 Airbnb
 Youtube",Con prenotazione,A pagamento,Sempre aperto,,,,,,,,Sempre aperto,,,"Il nostro complesso, situato a pochi minuti dal centro storico di Trento, è una residenza esclusiva ed elegante, dove si fondono in modo armonioso elementi naturali e urbani.
Perfetta per soggiorni brevi e disponibile anche per affitti medio-lunghi, offre ambienti spaziosi, luminosi e accoglienti, dal design raffinato e il massimo comfort.",Tutte la età,"Turisti / Visitatori, Studenti, Lavoratori / Pendolari","Si, in autonomia",Si,Si,,,45896,"La posizione strategica rende questi alloggi la scelta ideale sia per un piacevole viaggio alla scoperta della gran varietà di punti d’interesse che circondano la zona, sia per dedicarsi alle diverse attività ricreative presenti nei dintorni.",46.063032598284465,11.15567816158737,foursquare_povo.geojson,La Cassa Rurale Comano Terme,Via Marconi 4,76.43,76.43,da_verificare,Ristorazione e agriturismi,"via VIA della Selva, 27A - 38123 - Trento (TN) - ITALIA"
