Timestamp,name,Ambito di appartenenza del servizio:,Ente/Soggetto erogatore del servizio:,Indirizzo:,Referente del servizio e recapito diretto:,Contatti aggiuntivi:,Modalità di fruizione e di accesso al pubblico:,Condizioni economiche di accesso ,Giorni e orari di apertura:,Giorni della settimana e orari di apertura: [Lunedì],Giorni della settimana e orari di apertura: [Martedì],Giorni della settimana e orari di apertura: [Mercoledì],Giorni della settimana e orari di apertura: [Giovedì],Giorni della settimana e orari di apertura: [Venerdì],Giorni della settimana e orari di apertura: [Sabato],Giorni della settimana e orari di apertura: [Domenica],Periodo di apertura:,Seleziona i mesi di apertura:,Indica le occasioni di apertura:,Descrizione sintetica del servizio e quali sono le sue attività principali:,Età principali destinatari:,Altri target specifici:,È accessibile a persone con disabilità motoria?,Sono disponibili parcheggi entro 100 metri?  [Riservati agli utenti],Sono disponibili parcheggi entro 100 metri?  [Gratuiti],Sono disponibili parcheggi entro 100 metri?  [A pagamento],Sono disponibili parcheggi entro 100 metri?  [Riservati ai disabili],Data di compilazione:,Note aggiuntive:,latitude,longitude,coord_source,matched_poi_name,matched_poi_address,match_score,match_gap,match_status,map_category,address
45876.47257543981,Mercatino del Riuso,Servizi e attività economiche,Volontarie + Circoscrizione di Povo,via Don T. Dallafior 2 (ingresso da Piazzale Merler) o civico 5 (ingresso lato Chiesa),3204345956 Segretaria della circoscrizione,,Accesso libero,Gratuito,Aperto in determinati giorni/orari,Pomeriggio,,,Pomeriggio,,,,Sempre aperto,,,"Mercatino del riuso gestito da volontarie, attivo tutti i lunedì e giovedì dalle 14.00 alle 16.00 presso la Circoscrizione di Povo, nell'atrio all'ultimo piano 
(accessibile anche con l'ascensore). E' possibile portare articoli e capi di vestiario da regalare (selezionati, puliti e in ottimo stato), o ritirarli gratuitamente per il proprio uso personale e familiare.
Tra le cose accettate, oltre ad abbigliamento e scarpe, che vengono suddivisi per stagione, taglia e tipologia, come se fosse un vero negozio, vi sono giochi, articoli per la casa, giocattoli e piccoli elettrodomestici. 
Qualora si volessero cedere elementi di arredo o oggetti ingombranti, si segnala il sito internet http://www.tuttapovo.it/riuso/ nel quale è possibile caricare annunci o reperire informazioni e contatti per gli articoli ai quali si è interessati.",Tutte la età,"Studenti, Famiglie, Persone fragili o in situazione di svantaggio sociale, Tutti","Si, in autonomia",Si,Si,,Si,45876,,46.060188483996434,11.152226082577041,foursquare_povo.geojson,A&B Le Terrazze Del Sale' - Apartment And Breakfast,Via Alla Val n.61,73.5,73.5,da_verificare,Servizi e attività economiche,via Don T. Dallafior 2 (ingresso da Piazzale Merler) o civico 5 (ingresso lato Chiesa)
45881.396606689814,BOOKCROSSING presso Centro Civico,Cultura e tempo libero,Circoscrizione,Via don T.Dallafior 2 - Piazzale C. Merler,Circoscrizione di Povo tel. 0461 889920,presidente.circoscrizionepovo@comune.trento.it - circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio",Pomeriggio,Pomeriggio,"Mattina, Pomeriggio",Pomeriggio,,,Sempre aperto,,,"Punto di scambio libri a disposizione di tutti. Liberamente ognuno può lasciare dei volumi in buono stato e/o prendere i libri che desidera leggere. Non si sono limitazioni per quanto concerne le tipologie di libri (saggi, romanzi, fumetti, ecc.). Si chiede di non lasciare vecchie riviste o enciclopedie. In sostanza: lasciate i libri che donereste ad un amico, per il resto c'è il CRM.",Tutte la età,Tutti,"Si, in autonomia",,Si,,Si,45881,"Il servizio è sempre accessibile negli orari della biblioteca, con entrata sia da Via don Dallafior che da Piazzale Merler e ogniqualvolta il centro civico è aperto per qualsiasi altra attività",46.064879,11.153424,cultura_socialita_e_spazi_comuni.csv,Bookcrossing,Via don T.Dallafior 2 - Piazzale C. Merler,100.0,10.67,automatico,Cultura e tempo libero,Via don T.Dallafior 2 - Piazzale C. Merler
45881.40701921296,BOOKCROSSING al Parco del Salè,Cultura e tempo libero,Circoscrizione,Via Salè,Circoscrizione di Povo tel. 0461 889920,presidente.circoscrizionepovo@comune.trento.it - circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,,,,,,,,Sempre aperto,,,"E' una piccola libreria riparata da una tettoia, in cui ognuno può lasciare dei libri oppure prendere quelli che desidera. Può portarli via o leggerli in loco e poi rimetterli a posto. Si chiede di non lasciare vecchie riviste, libri obsoleti o enciclopedie: lasciare, cioè, i libri che si donerebbero ad un amico, cosicchè tutti possano beneficiarne.",Tutte la età,Tutti,"Si, in autonomia",Si,Si,,Si,45881,La libreria si trova all'interno del parco del Salè.,46.0625721,11.1522169,cultura_socialita_e_spazi_comuni.csv,Bookcrossing,Via Salè,100.0,9.86,automatico,Cultura e tempo libero,Via Salè
45881.85789099537,SALA VIDEO SERGIO NICHELATTI,Cultura e tempo libero,COMUNE DI TRENTO,"Povo - Piazzale C. Merler, 1",Circoscrizione di Povo tel. 0461 889920,circoscrizione.povo@comune.trento.it,Con prenotazione,A pagamento,Sempre aperto,,,,,,,,Sempre aperto,,,"Sala pubblica del Comune di Trento, collocata al piano terra del Centro civico (via Don T. Dallafior n. 7, Povo), prenotabile per conferenze, riunioni, incontri (no feste di compleanno, balli, ecc...). E' una sala rettangolare di 102 mq con 72 posti a sedere, interamente sbarrierata, dotata di videoproiettore e impianto di amplificazione: possibilità di parcheggio nell'attiguo Piazzale Merler e nell'autorimessa del Centro civico. Per prenotarla occorre accedere con SPID al portale Spazi comuni: https://spazicomuni.comune.trento.it/, scegliere Circoscrizione 7 - Povo e poi la sala, verificandone la disponibilità sul calendario (si raccomanda di effettuare la prenotazione con un anticipo di 15-20 giorni rispetto alla data desiderata).
I costi, indicati nel sito in fase di prenotazione, variano in base alla tipologia di utente ed all'orario di utilizzo",Tutte la età,Tutti,"Si, in autonomia",Si,Si,,Si,45881,"Sala adatta ad incontri divulgativi, dibattiti, conferenze, riunioni condominiali, concerti, performance teatrali, ecc. Dotata di sedie impilabili, può essere utilizzata per incontri formativi, mostre d'arte, giochi, dimostrazioni pratiche (es. di soccorso). ",46.064816,11.153304,cultura_socialita_e_spazi_comuni.csv,sala video Sergio Nichelatti,"Povo - Piazzale C. Merler, 1",100.0,100.0,automatico,Cultura e tempo libero,"Povo - Piazzale C. Merler, 1"
45882.3921765625,Monumento “Ai Caduti di tutte le Guerre” di Povo,Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,via Don T. Dallafior n. 1,Circoscrizione di Povo - 0461 889920,circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,,,,,,,,Sempre aperto,,,"Il monumento presenta una struttura in pietra di forma ondulata: nella parte anteriore si trovano una statua in bronzo raffigurante una donna che sostiene un uomo ai suoi piedi, una lanterna in bronzo e la scritta dedicatoria. Sul lato opposto invece si trova la lista dei caduti e dispersi delle due Guerre Mondiali.",Tutte la età,Tutti,"Si, previa assistenza",Si,Si,,Si,45882,,46.07052905715088,11.162651797362217,foursquare_povo.geojson,Asilo Nido di Oltrecastello,Via Borino 1,80.54,2.19,da_verificare,Luoghi/monumenti di interesse storico/artistico e fontane,via Don T. Dallafior n. 1
45882.39901814815,"Lapide commemorativa di Giannantonio Manci, partigiano italiano, eroe della resistenza",Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,Piazza G. Manci n. 6,Circoscrizione di Povo tel. 0461 889920,circoscrizione.povo@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,,,,,,,,Sempre aperto,,,"Martire della Resistenza trentina (Trento, 14 dicembre 1901 – Bolzano, 6 luglio 1944). Nel 1940-41 Manci prestò servizio a Trento, col grado di capitano, presso il deposito dell'11° Reggimento alpini di Trento. L'8 settembre 1943, all'annuncio dell'armistizio, entrò nelle file della Resistenza, impegnandosi nell'organizzazione del movimento partigiano trentino. Ai primi di luglio del 1944, in seguito a delazione, fu arrestato dai tedeschi; trasportato a Bolzano e rinchiuso in quelle carceri, per non cedere alle torture si tolse la vita, gettandosi da una finestra durante un interrogatorio. Ogni anno, in prossimità di questa targa e di un'altra lapide a lui dedicata in centro città, al n. 12 della Galleria dei partigiani, si svolge una cerimonia commemorativa.",Tutte la età,Tutti,"Si, in autonomia",No,Si,,Si,45882,,46.06570760871926,11.154961454648857,foursquare_povo.geojson,Cassa Rurale Di Trento,Piazza Manci 17,87.85,1.02,da_verificare,Luoghi/monumenti di interesse storico/artistico e fontane,Piazza G. Manci n. 6
45882.406362291666,Forte Sella di Roncogno,Luoghi/monumenti di interesse storico/artistico e fontane,Comune di Trento,"Passo del Cimirlo, 87",info@cngeitrento.it,trento@pec.cngei.it,Con prenotazione,Gratuito,Aperto in determinati giorni/orari,,,,,,,,Solo in determinate occasioni,,Attività degli Scout CNGEI o di rilevanza circoscrizionale,"Forte Roncogno, la cui definizione corretta è “Batteria Roncogno”, è un forte austriaco alle pendici del Monte Celva, al passo del Cimirlo, che faceva parte del grande sistema di fortificazioni austriache al confine italiano.
Ubicato a 8 Km da Trento,  a 805 m di altitudine, ha pianta a ferro di cavallo ed è stato realizzato con pietrame calcareo reperito in zona; sbarrava il passo Cimirlo, insieme alle opere di Civezzano sul fronte opposto, e costituiva uno dei capisaldi del fronte est della fortezza di Trento.
I lavori per la sua realizzazione durarono dal 1879 al 1881. Fin da prima dello scoppio del primo conflitto mondiale fu ritenuto obsoleto dagli austro-ungarici e quindi disarmato; i suoi armamenti vennero spostati in apposite caverne, sulle pendici settentrionali del Celva. Questo sistema di trinceramenti e batterie sono ancora oggi visitabili se muniti di apposite torce. Di particolare interesse in prossimità del Forte risulta la visita del “Sentiero dei 100 scalini”. Nel 1949 divenne proprietà del comune di Trento, che tra il 1989 e il 2010 ha poi condotto delle operazioni di restauro. Dal 2016 è assegnato in concessione di utilizzo alla Sezione scout CNGEI sezione di Trento.",Tutte la età,Tutti,"Si, previa assistenza",Si,Si,No,No,45882,,46.06636727452834,11.140654413991328,foursquare_povo.geojson,Bar di Ingegneria dell'Università degli Studi di Trento,Via Mesiano 77,74.84,0.7,da_verificare,Luoghi/monumenti di interesse storico/artistico e fontane,"Passo del Cimirlo, 87"
45882.51838630787,BIBLIOTECA COMUNALE DI TRENTO – SEDE DI POVO,Cultura e tempo libero,Comune di Trento,"Via don Tommaso Dallafior, 5",Telefono biblioteca di Povo:0461 889917 / 0461 889918,biblioteca.povo@comune.trento.it,Accesso libero,Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio",Pomeriggio,Pomeriggio,"Mattina, Pomeriggio",Mattina,,,Sempre aperto,,,"La biblioteca è al primo piano del Centro Civico di Povo, raggiungibile anche con ascensore: dispone di 28 posti a sedere al tavolo e di 14 su divani e poltrone, di una sala sala dedicata ai bambini più piccoli e di un patrimonio di circa 15.000/15.500 volumi. Oltre alle classiche sezioni, comuni a tutte le sedi periferiche del comune di Trento, ci sono due sezioni che si occupano di specifiche tematiche: 
- Educando - crescendo: sezione rivolta ai neo-genitori che comprende tutta la manualistica di riferimento, saggi, self-help a tema gravidanza, figli, problemi dell'adolescenza;
- Futurama: una sezione tematica con un taglio sociologico e antropologico, dedicata ai temi dell'intelligenza artificiale e delle nuove tecnologie. 
Gli orari di apertura variano sensibilmente tra periodo estivo e invernale. 
Per informazioni consultare il sito: https://bibcom.trento.it/Orari-e-sedi/Sedi-periferiche/Povo",Tutte la età,Tutti,"Si, in autonomia",Si,Si,,Si,45882,,46.064937,11.153418,cultura_socialita_e_spazi_comuni.csv,Biblioteca Comunale,"Via don Tommaso Dallafior, 5",100.0,16.0,automatico,Cultura e tempo libero,"Via don Tommaso Dallafior, 5"
45882.683350810184,ANFITEATRO ALL'APERTO / ARENA,Cultura e tempo libero,Comune di Trento - Ufficio Parchi e Giardini,"Piazza Manci, Povo (nel parco adiacente la Banca per il Trentino Alto Adige - filiale di Povo))",Ufficio parchi e giardini - 0461 884528,ufficio.verde@comune.trento.it,Accesso libero,Gratuito,Sempre aperto,,,,,,,,Sempre aperto,,,"Spazio emiciclico all'aperto, collocato all'interno del parco adiacente alla Banca per il Trentino Alto Adige-filiale di Povo, normalmente accessibile agli utilizzatori di quest'area verde. Può essere utilizzato anche per eventi e manifestazioni previa presentazione della richiesta all'Ufficio parchi e giardini del Comune di Trento sia per la verifica della disponibilità che per la quantificazione dei costi di occupazione suolo pubblico. I posti ricavati sui gradoni in pietra sono circa 100.",Tutte la età,Tutti,"Si, previa assistenza",Si,Si,,Si,45882,,46.065413,11.154953,cultura_socialita_e_spazi_comuni.csv,Anfiteatro all'aperto,"Piazza Manci, Povo (nel parco adiacente la Banca per il Trentino Alto Adige - filiale di Povo))",100.0,100.0,automatico,Cultura e tempo libero,"Piazza Manci, Povo (nel parco adiacente la Banca per il Trentino Alto Adige - filiale di Povo))"
45883.38846724537,CASA SOCIALE ,Cultura e tempo libero,Kaleidoscopio Scs con la Circoscrizione di Povo,"Povo, Via Salè 1",Paola Rizzolli - Kaleidoscopio - 3299060104,povo.educa@kaleidoscopio.coop,Con prenotazione,A pagamento,Aperto in determinati giorni/orari,,,,,,,,Solo in determinate occasioni,,"La sala si trova all'interno della ""Casa Sociale"", una struttura in uso ad un pool di associazioni aderenti al patto di coesione territoriale PovoEduca, stipulato fra il Comune di Trento e Kaleidoscopio, ente capofila che, assieme alla Circoscrizione, ne gestisce il calendario e la programmazione delle attività. Nei tempi liberi può essere prenotata anche da esterni, associazioni e privati. Per la disponibilità è necessario verificare il calendario con Kaleidoscopio: povo.educa@kaleidoscopio.coop","La struttura è composta dalla sala Agorà, che può ospitare fino a 130 persone, utilizzabile per conferenze, spettacoli, attività ludico sportive, feste, incontri conviviali, una cucina laboratorio con annessa saletta di appoggio, una sala living, con capienza di circa 30 persone, dotata di divani e armadi, utilizzabile per attività varie, riunioni e incontri; una sala musica al primo piano, per prove di gruppi musicali. Gli spazi della Casa Sociale possono essere prenotati anche da esterni, associazioni e privati, contattando con congruo anticipo la Kaleidoscopio alla mail: povo.educa@kaleidoscopio.coop.
Ampie porte-finestre danno accesso ad un grande prato con alberi, recintato e ad uso esclusivo. L'eventuale uso della cucina è possibile sia come appoggio per la distribuzione di cibi pronti che per il confezionamento di semplici pasti, previa richiesta dei necessari permessi e nel rispetto delle regole di comportamento illustrate da un responsabile di Kaleidoscopio.",Tutte la età,Tutti,"Si, in autonomia",Si,Si,,Si,45883,"La Casa Sociale è stata inaugurata il 14 dicembre 2024. Ora i suoi spazi, totalmente rinnovati, sono utilizzati dalla comunità di Povo per i più diversi scopi:  riunioni, spettacoli musicali e teatrali, feste, attività ludico/sportive, conferenze, attività formative, incontri conviviali fra gruppi, cene solidali, ecc. Alcune associazioni aderiscono al patto per svolgere attività continuative. La Circoscrizione dispone di un certo numero di giornate all'anno di utilizzo a titolo gratuito per attività che coinvolgono tutta la comunità. Per attività occasionali le sale della struttura possono essere prenotate da gruppi o da privati. Per i costi di noleggio e per la verifica della disponibilità, rivolgersi a povo.educa@kaleidoscopio.coop.",46.064387,11.152653,cultura_socialita_e_spazi_comuni.csv,Casa Sociale,Via Salè 1,100.0,21.86,automatico,Cultura e tempo libero,"Povo, Via Salè 1"
