nome,mapcategory,servizio,attore,indirizzo,latitudine,longitudine,referente,contatti,accesso,costi,accesso_temporale,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica,periodo_apertura,mesi_apertura,occasioni_apertura,descrizione,destinatari,altri,disabili,parcheggi100m_riservati,parcheggi100m_gratuiti,parcheggi100m_pagamento,parcheggi100m_disabili,data_aggiornamento,note,url,foto
Mercatino del Riuso,Servizi pubblici e di comunità,Servizi e attività economiche,Volontarie + Circoscrizione di Povo,via Don T. Dallafior 2 (ingresso da Piazzale Merler) o civico 5 (ingresso lato Chiesa),46.064879,11.153424,3204345956 Segretaria della circoscrizione,-,Accesso libero,Gratuito,Aperto in determinati giorni/orari,Pomeriggio,-,-,Pomeriggio,-,-,-,Sempre aperto,-,-,"Mercatino del riuso gestito da volontarie, attivo tutti i lunedì e giovedì dalle 14.00 alle 16.00 presso la Circoscrizione di Povo, nell'atrio all'ultimo piano 
(accessibile anche con l'ascensore). E' possibile portare articoli e capi di vestiario da regalare (selezionati, puliti e in ottimo stato), o ritirarli gratuitamente per il proprio uso personale e familiare.
Tra le cose accettate, oltre ad abbigliamento e scarpe, che vengono suddivisi per stagione, taglia e tipologia, come se fosse un vero negozio, vi sono giochi, articoli per la casa, giocattoli e piccoli elettrodomestici. 
Qualora si volessero cedere elementi di arredo o oggetti ingombranti, si segnala il sito internet http://www.tuttapovo.it/riuso/ nel quale è possibile caricare annunci o reperire informazioni e contatti per gli articoli ai quali si è interessati.",Tutte la età,"Studenti, Famiglie, Persone fragili o in situazione di svantaggio sociale, Tutti","Si, in autonomia",Si,Si,-,Si,7/8/2025,-,https://www.tuttapovo.it/riuso/,https://i.postimg.cc/15wMjnf9/470174382-1091293146129212-4158211521558568548-n.jpg
Vigili del Fuoco,Servizi pubblici e di comunità,Associazioni e gruppi,Associazione di volontariato,"Via Sabbioni 22/1, Trento, Italy",46.067175,11.155242,0461 811414,"Instagram · vigili_del_fuoco_povo
povo@distrettovvftrento.it
http://www.distrettovvftrento.it/corpo.php?id=28","Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Gratuito,Aperto in determinati giorni/orari,-,-,Sera,-,-,-,-,Solo in determinate occasioni,-,QUANDO CI SONO SERVIZI ATTIVI O MANIFESTAZIONI,è una associazione che si occupa di interventi d'urgenza per incendi-allarmi acqua-allarme animali-allarmi chiusure porte,"Adolescenti (11–17 anni), Giovani (18–30 anni), Adulti (31–64 anni)","Famiglie, Associazioni / Gruppi organizzati","Si, in autonomia",Si,Si,-,-,27/8/2025,-,https://www.facebook.com/p/Vigili-del-Fuoco-volontari-di-Povo-100067896998748/,https://i.postimg.cc/V61dzNw6/655598751-1248530024086886-4096332984785411283-n.jpg
Scuola Primaria Provinciale,Servizi pubblici e di comunità,Servizi e attività economiche,Scuola Primaria U. Moggioli,Via dei Rivi 6,46.064015,11.153655,PEGORETTI PIERA - DIRIGENTE SCOLASTICA,0461810355 - segr.ic.tn1@scuole.provincia.tn.it - www.ictrento1.it,"Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",Mattina,-,-,Solo in alcuni periodi dell'anno,"Gennaio, Febbraio, Marzo, Aprile, Maggio, Giugno, Settembre, Ottobre, Novembre, Dicembre",-,SERVIZIO PUBBLICO CHE SI OCCUPA DELL'ISTRUZIONE SCOLASTICA PRIMARIA,Bambini (0–10 anni),-,"Si, in autonomia",Si,Si,No,Si,27/8/2025,struttura scolastisca regolarmente frequentata,https://www.ictrento1.it/luogo/scuola-primaria-g-dalla-fior/,https://www.ictrento1.it/wp-content/uploads/2022/06/mog4.png
"Scuola Equiparata dell'Infanzia ""Angelina Lorenzini""",Servizi pubblici e di comunità,Servizi e attività economiche,Scuola equiparata dell'infanzia di Povo suore Angelina Lorenzini,Via Pantè 1,46.064721,11.151896,GRISENTI GIUSEPPE - 3356342205,0461810049/810970 - posta@scuolainfanziapovo.it - www.scuolainfanziapovo.it,"Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",-,-,Solo in alcuni periodi dell'anno,"Gennaio, Febbraio, Marzo, Aprile, Maggio, Giugno, Luglio, Settembre, Ottobre, Novembre, Dicembre",-,SERVIZIO PUBBLICO CHE SI OCCUPA DELLA GESTIONE DEI BAMBINI DA 3 AI 6 ANNI,Bambini (0–10 anni),-,"Si, previa assistenza",Si,Si,No,Si,29/8/2025,Struttura mediamente frequentata,https://www.scuolainfanziapovo.it,https://www.scuolainfanziapovo.it/public/foto/scuola/scuola_007.jpg
"Scuola Provinciale dell'Infanzia ""M.C. CONOTTER""",Servizi pubblici e di comunità,Servizi e attività economiche,"Scuola provinciale dell'infanzia ""M.C. CONOTTER""",Via della Resistenza 48,46.067520,11.161642,CHIARA NADALON - 0461496952,0461810574 - scuolainfanzia.povo@scuole.provincia.tn.it - www.vivoscuola.it,"Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",-,-,Solo in alcuni periodi dell'anno,"Gennaio, Febbraio, Marzo, Aprile, Maggio, Giugno, Luglio, Settembre, Ottobre, Novembre, Dicembre",-,SERVIZIO PUBBLICO CHE SI OCCUPA DELLA GESTIONE DEI BAMBINI DAI 3 AI 6 ANNI,Bambini (0–10 anni),-,"Si, previa assistenza",Si,Si,No,Si,29/8/2025,Struttura mediamente frequentata,https://www.vivoscuola.it/Scuole/Circolo-di-coordinamento-n.-3/Scuola-dell-Infanzia-di-Trento-Povo-M.C.-Conotter,https://i.postimg.cc/C1pH924m/article-img-id-12806375-t-1775554302600.png
Centro Servizi,Servizi pubblici e di comunità,Servizi e attività economiche,APSP Margherita Grazioli,Via della Resistenza 61/D,46.065891,11.158567,APSP MARGHERITA GRAZIOLI,0461 818101 - centroservizi@apspgrazioli.it - www.apspgrazioli.it,"Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Misto,Aperto in determinati giorni/orari,Mattina,Mattina,Mattina,"Mattina, Pomeriggio",Mattina,-,-,Sempre aperto,-,-,"Il Centro Servizi promuove attività motorie, culturali e servizi di cura e igiene rivolti a persone adulto/anziane del territorio. La Residenza Sanitaria Assistenziale (di seguito RSA) è una struttura socio-sanitaria residenziale dedicata a persone adulto/anziane non autosufficienti che necessitano di assistenza.","Adulti (31–64 anni), Anziani (65+)","Associazioni / Gruppi organizzati, Persone fragili o in situazione di svantaggio sociale, Anziani","Si, in autonomia",No,Si,No,Si,14/9/2025,"Il Centro Servizi è facilmente raggiungibile sia con i mezzi pubblici sia con i mezzi privati. Dispone infatti di un ampio parcheggio coperto oppure scoperto con disco orario di 2 ore e si trova in corrispondenza della fermata degli autobus di linea urbana  n.5, n.13 e n. 16",https://www.apspgrazioli.it/,https://www.apspgrazioli.it/var/apspgrazioli/storage/images/media/immagini/centro-polifunzionale/37580-1-ita-IT/Centro-Polifunzionale_reference.jpg
Casa Melograno,Servizi pubblici e di comunità,Servizi e attività economiche,APSP Margherita Grazioli,Via della Resistenza 61/D,46.065710,11.158264,APSP MARGHERITA GRAZIOLI,0461 818101 - centroservizi@apspgrazioli.it - www.apspgrazioli.it,Accesso libero,Gratuito,Aperto in determinati giorni/orari,Mattina,Mattina,Mattina,"Mattina, Pomeriggio",Mattina,-,-,Sempre aperto,-,-,"Casa Melograno è un nuovo punto di vista sull'essere anziano, un nuovo servizio a disposizione di anziani e caregiver della collina est di Trento. Eroga servizi di risposta e sostegno concreto agli anziani e alle famiglie del territorio.

https://www.apspgrazioli.it/Spazi/Casa-Melograno","Adulti (31–64 anni), Anziani (65+)","Famiglie, Persone fragili o in situazione di svantaggio sociale","Si, in autonomia",No,Si,No,Si,14/9/2025,"Struttura nuova con accesso sbarrierato; dispone di ampio parcheggio coperto e scoperto con disco orario di 2 ore; adiacente alle fermate dell'autobus urbano di linea n. 5, n. 13 e n. 16",https://www.apspgrazioli.it/Spazi/Casa-Melograno,https://www.apspgrazioli.it/var/apspgrazioli/storage/images/media/images/ingresso-casa-melograno/10070-2-ita-IT/Ingresso-Casa-Melograno_reference.jpg
Punto Prelievi,Servizi pubblici e di comunità,Servizi e attività economiche,APSP Margherita Grazioli,Via della Resistenza 61/E,46.065813,11.158036,APSP MARGHERITA GRAZIOLI,0461 818156 - info@apspgrazioli.it - www.apspgrazioli.it,Con prenotazione,Misto,Aperto in determinati giorni/orari,-,-,Mattina,-,Mattina,-,-,Sempre aperto,-,-,"Il Punto Prelievi è un ambulatorio dedicato ai prelievi di sangue e alla consegna di liquidi e materiali biologici per esami biochimici effettuati dai laboratori dell'Azienda Provinciale per i Servizi Sanitari.

https://www.apspgrazioli.it/Spazi/Punto-Prelievi",Tutte la età,Tutti,"Si, in autonomia",No,Si,No,Si,14/9/2025,"È facilmente raggiungibile sia con i mezzi pubblici (linea urbana n. 5, n. 13 e n. 16) sia con quelli privati: è infatti dotato di ampio parcheggio coperto e scoperto con disco orario di 2 ore.",https://www.apspgrazioli.it/Spazi/Punto-Prelievi,https://www.apspgrazioli.it/var/apspgrazioli/storage/images/media/immagini/totem-centro-polifunzionale-esterno/17465-1-ita-IT/Totem-Centro-Polifunzionale-esterno_reference.jpg
Ufficio Postale,Servizi pubblici e di comunità,Servizi e attività economiche,Poste Italiane,Piazza Manci 4,46.065966,11.153905,-,0461 810764,Accesso libero,Misto,Aperto in determinati giorni/orari,Mattina,-,Mattina,-,Mattina,-,-,Sempre aperto,-,-,"Oltre a fornire servizi postali di base, il Gruppo Poste Italiane offre in Italia prodotti integrati e servizi di risparmio postale, comunicazione, logistica e servizi finanziari.
Il gruppo offre inoltre un'ampia gamma di prodotti postali, dai servizi di corriere espresso a una vasta scelta di prodotti finanziari.
Alcuni dei servizi erogati:
Corrispondenza (Lettera, Raccomandata, Telegramma)
Spedizioni (Pacchi, Confezioni preaffrancate, Rete Punto Poste).
Conti (Conti BancoPosta, Servizi accessori).
Carte (Carte Postepay, Carte di debito, Carte di credito).
Invio denaro (Vaglia, Moneygram, Western Union)
Finanziamenti (Prestiti BancoPosta, Mutui BancoPosta)
Buoni fruttiferi postali, Libretti postali
Servizi digitali certificati (Identità digitale PosteID, Posta Elettronica Certificata)
Rilascio documenti (Successioni, Passaporti, Permessi di soggiorno, Carta Rdc)
INPS (Buoni lavoro, Emissione carte INPS)","Giovani (18–30 anni), Adulti (31–64 anni), Anziani (65+)",Tutti,"Si, in autonomia",No,Si,No,Si,14/9/2025,"L'ufficio postale si trova nella piazza del sobborgo, nelle immediate vicinanze della fermata del trasporto pubblico urbano linee n.5, n.13 e n.16

www.ufficio-postale.it/trento/4827-poste-italiane/","https://www.poste.it/prenotazione/vieni-in-poste/?idPunto=mrx8gqYK6Cjvu8Lxc5v78A&tipoPunto=UfficioPostale&search=Piazza+Giannantonio+Manci+4,+38123+Trento",https://www.ufficio-postale.it/wp-content/uploads/2020/11/AF1QipNIJACI8mAsOEYySADNyDthvitvfC3zwf4sCzfSw408-h544-k-no-225x300.jpg
Farmacia Comunale,Servizi pubblici e di comunità,Servizi e attività economiche,Comune di Trento,Piazza Manci 5,46.066276,11.154112,dott.ssa Lorenza Facchinelli,Tel. 0461 810525 farm06@farcomtrento.it https://www.farcomtrento.com/farmacie/farmacia-povo/,Accesso libero,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Farmacia, con offerta di servizi aggiuntivi per la salute: misurazione pressione, profilo lipidico completo e emoglobina glicata, elettrocardiogramma, controllo del peso, test intolleranza alimentare, test diagnostici per lo streptococco di tipo A, angolo allattamento neonati, altri servizi come raccolta farmaci scaduti e noleggio strumenti.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,Si,1/11/2025,Farmacia molto frequentata. Orario 8.15 - 12.15  15.15 - 19.15 Sabato 8.15 - 12.15,https://www.farcomtrento.com/farmacie/farmacia-povo/,https://www.farcomtrento.com/wp-content/uploads/2025/01/povo1.jpg
