stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding,passaggi,prime_departure_s,last_departure_s,linee,frequenza_media_min,prima_corsa,ultima_corsa,graph_node,snap_dist
9,25205x,Borino,,46.067127,11.165537,10110,1,27,25680,71460,5,29.346153846153847,07:08,19:51,436656077,3.4079142514034335
46,25305z,"Gabbiolo ""Campo Sportivo""",,46.055301,11.148990,10110,1,19,27000,70320,13,40.111111111111114,07:30,19:32,8977501175,18.639405295895244
47,25305x,"Gabbiolo ""Campo Sportivo""",,46.055279,11.148843,10110,1,20,25260,71040,13,40.1578947368421,07:01,19:44,8977501174,22.24820350349802
145,25405z,"Mesiano ""Fac. Ingegneria""",,46.067111,11.139552,10110,1,39,26280,70860,5,19.55263157894737,07:18,19:41,928552604,22.239951964246913
146,25405x,"Mesiano ""Fac. Ingegneria""",,46.067201,11.139594,10110,1,43,25260,70560,5,17.976190476190474,07:01,19:36,928552604,26.184265383998937
147,25410z,"Mesiano ""Stazione Fs""",,46.064922,11.141795,10110,1,39,26340,70920,5,19.55263157894737,07:19,19:42,4573568396,19.946661939530767
148,25410x,"Mesiano ""Stazione Fs""",,46.065054,11.141743,10110,1,43,25260,70560,5,17.976190476190474,07:01,19:36,4573568394,17.92794769424691
149,25045z,Povo Valoni,,46.065426,11.146084,10110,1,40,25200,70980,5,19.564102564102566,07:00,19:43,9044958459,33.35578402404208
150,25045x,Povo Valoni,,46.065751,11.146343,10110,1,43,25200,70500,5,17.976190476190474,07:00,19:35,2799582556,8.348396818403343
159,25640z,Villazzano Valnigra,,46.052083,11.146588,10110,1,19,26940,70260,13,40.111111111111114,07:29,19:31,7846612892,18.75888670557382
160,25640x,Villazzano Valnigra,,46.052091,11.146369,10110,1,20,25320,71100,13,40.1578947368421,07:02,19:45,322508553,30.575075245648087
161,25105c,Oltrecastello,,46.072734,11.161992,10110,,54,25800,71820,5,14.471698113207546,07:10,19:57,274232819,13.659846127735975
165,21545-,Piazza di Fiera,,46.065117,11.123289,10110,,39,25860,70440,5,19.55263157894737,07:11,19:34,10275626079,889.3657421724074
166,21595x,S.Francesco Porta Nuova,,46.066890,11.126409,10110,1,39,25980,70560,5,19.55263157894737,07:13,19:36,10275626079,655.6958302065647
174,24605z,Ponte Lodovico,,46.069376,11.138945,10110,,39,26220,70800,5,19.55263157894737,07:17,19:40,13173229823,11.645187118894386
175,24605x,Ponte Lodovico,,46.069514,11.140184,10110,,43,25320,70620,5,17.976190476190474,07:02,19:37,928539085,34.089698134894924
