cluster_v3,profilo_cluster_v3,profilo_pubblico,popolazione_rif,famiglie_rif,abitazioni_rif,dislivello_sezione_m,servizi_5_min,servizi_15_min,tempo_associazioni_min,tempo_cultura_min,tempo_ristorazione_min,tempo_attivita_economiche_min,tempo_fermata_min,passaggi_totali
1,nucleo_residenziale,Nucleo prevalentemente residenziale,30.0,10.0,7.0,231.718994140625,0,0,42.88811420122316,44.90486011266731,42.924674220190454,33.66964839765555,17.157236709347366,18.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,2.0,12.69000244140625,0,0,47.5268888083652,50.775988829555594,47.563448827332486,39.540777114543836,34.74362115493622,54.0
1,nucleo_residenziale,Nucleo prevalentemente residenziale,0.0,0.0,1.0,271.43402099609375,0,0,42.88811420122316,44.90486011266731,42.924674220190454,33.66964839765555,17.157236709347366,18.0
4,area_mista_di_transizione,Area mista e di transizione,37.0,12.0,15.0,19.43798828125,0,0,51.394414702062626,49.855814309643925,48.20955968516185,39.52071409097266,10.215092327733325,30.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,2.0,0.0,0,0,56.27378108251715,54.73518069009844,53.08892606561637,46.49356674809151,17.86088790136605,30.0
2,area_periferica_morfologicamente_svantaggiata,Area periferica o penalizzata dalla morfologia,28.0,6.0,10.0,28.0599365234375,0,0,100.67668184834842,99.13808145592971,97.49182683144765,90.89646751392279,65.58846537424259,30.0
2,area_periferica_morfologicamente_svantaggiata,Area periferica o penalizzata dalla morfologia,21.0,7.0,13.0,118.7060546875,0,0,114.14950754720809,112.61090715478937,110.96465253030732,104.36929321278245,79.06129107310225,30.0
4,area_mista_di_transizione,Area mista e di transizione,100.0,43.0,46.0,23.36700439453125,0,0,53.42693444634867,47.403801869491296,47.19783600816443,43.82926190323122,6.437865034179331,56.0
3,centralita_servita,Centralità locale ben servita,148.0,70.0,73.0,18.027984619140625,23,28,6.191383863070708,0.7311303235762733,0.5467408145939879,0.7311303235762733,1.6552730526054755,154.0
1,nucleo_residenziale,Nucleo prevalentemente residenziale,73.0,33.0,38.0,40.941009521484375,11,31,9.18551806685652,3.450278875163059,4.490020107862843,2.1640225659168335,0.16918008747205482,21.0
